APP-USERNAME,SENTENCE #,SENTENCE CLAUSES,L2,L1,LANGUAGE
KATJAG2602-en,1,1,"I have a new friend from England.","Imam novo prijateljico iz Anglije.",en
KATJAG2602-en,2,1,"She comes from the north of England.","Prihaja iz severa Anglije.",en
KATJAG2602-en,3,1,"Our conversations are very pleasant.","Najini pogovori so zelo prijetni.",en
KATJAG2602-en,4,2,"Little by little, our conversations are getting longer.","Počasi postajajo najini pogovori daljši.",en
KATJAG2602-en,5,1,"I like both British and American English.","Všeč mi je tako britanska kot ameriška angleščina.",en
KATJAG2602-en,6,1,"I am trying to find a middle path between them.","Trudim se najti srednjo pot med njima.",en
KATJAG2602-en,7,2,"When she says something, I repeat it after her.","Ko ona nekaj reče, ponovim za njo.",en
KATJAG2602-en,8,1,"I try to mimic the way she speaks.","Trudim se posnemati način, kako govori.",en
KATJAG2602-en,9,1,"I am learning English and new things at the same time.","Hkrati se učim angleščino in nove stvari.",en
KATJAG2602-en,10,1,"I am glad that I started this adventure.","Vesela sem, da sem začela to pustolovščino.",en
