APP-USERNAME,SENTENCE #,SENTENCE CLAUSES,L2,L1,LANGUAGE
TOMR2504-km,1,1,"ខ្ញុំទៅនេសាទត្រីជាមួយក្មួយប្រុសរបស់ខ្ញុំ។","I go fishing with my nephew.",km
TOMR2504-km,2,1,"យើងអង្គុយលើទូក។","We sit on the boat.",km
TOMR2504-km,3,1,"រលកវាយមកលើទូក។","The waves hit the boat.",km
TOMR2504-km,4,1,"ក្មួយប្រុសខ្ញុំស្ទើរតែធ្លាក់ទឹក។","My nephew almost fell in the water.",km
TOMR2504-km,5,1,"ភ្នែករបស់គាត់ធំខ្លាំង!","His eyes got really big!",km
TOMR2504-km,6,1,"បន្ទាប់មកគាត់សើច។","Then he laughed.",km
TOMR2504-km,7,1,"ខ្ញុំញ៉ាំសម្លត្រីបីដងក្នុងមួយថ្ងៃ។","I eat fish soup three times a day.",km
TOMR2504-km,8,1,"ខ្ញុំផឹកកាហ្វេពេលព្រឹក។","I drink coffee in the morning.",km
TOMR2504-km,9,1,"អាហារនេះឆ្ងាញ់ណាស់!","This food is delicious!",km
TOMR2504-km,10,1,"ខ្ញុំចូលចិត្តច្រៀងជាមួយក្រុមគ្រួសារ។","I love singing with my family.",km
