APP-USERNAME,SENTENCE #,SENTENCE CLAUSES,L2,L1,LANGUAGE
MEHRAD2606-pt,1,1,"As prisões políticas abrem as portas.","The political prisons open their doors.",pt
MEHRAD2606-pt,2,1,"Os presos saem finalmente em liberdade.","The prisoners finally come out free.",pt
MEHRAD2606-pt,3,1,"As famílias choram de alegria.","The families weep with joy.",pt
MEHRAD2606-pt,4,1,"O povo dança e canta nas ruas.","The people dance and sing in the streets.",pt
MEHRAD2606-pt,5,1,"Portugal é finalmente um país livre.","Portugal is finally a free country.",pt
MEHRAD2606-pt,6,1,"A censura e o medo acabaram.","The censorship and the fear are over.",pt
MEHRAD2606-pt,7,1,"Começa uma nova era de democracia.","A new era of democracy begins.",pt
MEHRAD2606-pt,8,1,"O vinte e cinco de Abril nunca será esquecido.","The twenty-fifth of April will never be forgotten.",pt
MEHRAD2606-pt,9,1,"Os cravos são o símbolo da liberdade.","The carnations are the symbol of freedom.",pt
MEHRAD2606-pt,10,1,"A canção Grândola tornou-se um hino.","The song Grândola became an anthem.",pt
